file,Call type,Mean F0,Max F0, Min F0, Range F0,Q25%,Q50%,Q75%,Fpeak,sound duration,AM var,AM rate,AM extent,harmonicity, F1 mean,F2 mean,F3 mean,F4 mean,F5 mean,F6 mean,F7 mean,F8 mean,formant dispersal,vocal tract length,mean wiener entropy,Comment,
HFC_07.45.wav,HFC,236.689,294.139,112.887,181.252,250.404,276.472,303.561,126.279,2.143,88.560,11.900,7.442,14.63,240.382,434.060,876.657,1301.297,1673.112,2075.223,2528.550,2899.550,379.881,46.067,-2.204,,
HFC_08.00.wav,HFC,158.516,294.268,93.058,201.210,296.956,334.776,431.047,118.799,1.419,40.152,8.808,4.559,11.99,299.017,489.814,933.622,1283.568,1668.011,2057.803,2465.196,2843.358,363.477,48.146,-2.594,,
HFC_08.00_1.wav,HFC,195.624,271.492,63.025,208.467,281.705,312.289,359.112,263.787,1.851,54.033,8.376,6.451,17.14,270.111,407.637,920.499,1269.130,1675.547,2096.944,2483.660,2874.211,372.014,47.041,-2.711,,
HFC_08.00_2.wav,HFC,230.472,250.858,195.201,55.657,226.728,266.757,438.934,231.720,1.224,62.130,11.025,5.635,11.10,238.932,502.281,776.743,1230.532,1672.913,2083.351,2424.115,2839.500,371.510,47.105,-1.604,,
HFC_08.15.wav,HFC,200.423,285.960,152.187,133.773,285.437,304.460,335.683,294.104,1.698,79.431,12.960,6.129,15.15,279.695,441.087,875.027,1288.314,1651.717,2074.063,2471.972,2853.095,367.629,47.602,-2.627,,
HFC_08.15_1.wav,HFC,187.751,283.649,114.589,169.060,318.483,416.793,756.628,324.893,1.433,50.882,12.909,3.942,9.66,320.312,620.246,911.337,1304.976,1668.329,2067.712,2450.008,2822.187,357.411,48.963,-1.681,,
HFC_08.15_2.wav,HFC,181.915,283.745,81.995,201.750,297.082,331.401,404.669,136.712,1.767,62.665,9.337,6.711,12.79,286.470,477.995,945.854,1271.136,1689.350,2077.262,2508.054,2859.408,367.563,47.611,-2.509,,
HFC_08.30.wav,HFC,241.442,295.917,124.436,171.481,266.723,311.439,482.172,132.304,1.684,75.968,12.176,6.239,13.92,276.082,526.443,998.493,1313.929,1732.822,2110.084,2563.622,2918.459,377.482,46.360,-1.785,,
HFC_08.30_1.wav,HFC,184.790,284.992,103.813,181.180,249.236,372.696,526.289,111.398,1.656,33.181,9.663,3.434,10.64,313.602,506.227,928.500,1269.031,1658.575,2057.008,2485.051,2884.889,367.327,47.642,-1.932,,
HFC_08.30_2.wav,HFC,213.980,294.795,129.971,164.824,276.803,301.250,347.979,283.785,1.656,61.752,11.173,5.527,15.35,275.988,444.696,884.672,1286.420,1646.700,2067.072,2482.456,2845.598,367.087,47.673,-2.747,,
HFC_08.45.wav,HFC,227.902,238.527,216.387,22.140,231.336,298.301,541.409,220.469,0.612,63.141,4.900,12.886,15.37,237.273,488.860,721.648,1213.705,1619.403,2063.331,2500.048,2940.312,386.148,45.319,-1.364,,
HFC_08.45_1.wav,HFC,272.836,295.029,235.677,59.352,272.797,298.290,362.909,266.551,1.851,68.563,11.348,6.042,14.68,267.630,486.588,944.014,1310.696,1673.501,2077.891,2525.715,2837.422,367.113,47.669,-2.191,,
HFC_08.45_2.wav,HFC,206.473,292.851,150.675,142.176,278.264,338.440,581.442,291.888,2.018,95.410,10.409,9.166,9.15,290.663,566.702,995.831,1302.362,1678.794,2083.105,2503.160,2890.293,371.376,47.122,-1.803,,
HFC_09.00.wav,HFC,209.193,292.619,154.354,138.266,216.357,351.920,554.356,205.247,1.391,56.639,8.265,6.853,10.92,298.107,542.309,899.817,1284.389,1676.220,2066.841,2491.384,2868.738,367.233,47.654,-1.621,,
HFC_09.00_1.wav,HFC,203.547,292.920,151.396,141.523,294.499,344.312,559.137,297.816,1.698,53.823,11.782,4.568,11.82,293.200,551.665,872.171,1263.498,1670.636,2071.167,2448.072,2833.298,362.871,48.226,-1.986,,
HFC_09.00_2.wav,HFC,215.245,290.617,152.111,138.506,220.311,352.510,517.516,217.422,1.489,56.149,11.083,5.066,8.93,294.361,521.473,928.964,1271.817,1660.524,2053.999,2497.667,2844.609,364.321,48.035,-1.809,,
HFC_09.15.wav,HFC,247.345,270.321,211.989,58.332,250.466,283.920,409.863,245.709,1.391,59.779,11.140,5.366,15.74,252.120,469.508,803.555,1248.822,1599.282,2033.233,2425.163,2840.150,369.719,47.333,-1.995,,
HFC_09.15_1.wav,HFC,212.897,291.457,103.636,187.821,227.225,341.990,509.101,292.996,1.433,44.177,8.373,5.276,6.68,290.271,528.918,928.195,1270.699,1660.619,2046.234,2494.584,2833.775,363.358,48.162,-1.768,,
HFC_09.15_2.wav,HFC,261.962,284.595,236.089,48.505,253.705,302.991,500.077,252.743,1.572,98.600,12.084,8.159,11.43,265.269,512.718,880.605,1236.145,1662.962,2016.658,2439.305,2837.568,367.471,47.623,-1.635,,
HFC_09.30.wav,HFC,254.805,285.839,218.743,67.097,250.577,317.336,596.025,255.085,1.948,51.096,10.524,4.855,13.26,263.764,539.075,830.126,1286.364,1682.039,2074.481,2469.380,2872.030,372.609,46.966,-1.762,,
HFC_09.30_1.wav,HFC,218.535,295.225,73.707,221.519,258.547,296.841,411.219,127.212,1.795,67.312,11.421,5.894,11.17,273.629,479.388,869.844,1266.262,1637.357,2000.994,2487.404,2850.920,368.184,47.531,-2.134,,
HFC_09.30_2.wav,HFC,243.071,295.771,99.703,196.068,254.126,295.161,405.229,133.573,1.753,86.051,9.982,8.621,12.32,269.043,487.145,852.459,1286.185,1668.330,2043.193,2504.877,2828.274,365.604,47.866,-2.183,,
HFC_09.45.wav,HFC,235.194,290.624,72.938,217.687,248.768,285.415,388.155,263.900,1.781,72.597,13.195,5.502,9.58,266.073,478.076,871.956,1282.978,1649.552,2068.764,2493.057,2877.233,373.023,46.914,-2.087,,
HFC_09.45_1.wav,HFC,227.898,292.205,101.117,191.087,248.406,325.120,500.264,279.053,1.280,55.535,12.108,4.586,8.92,285.532,493.787,874.402,1267.321,1667.315,2051.193,2486.115,2843.732,365.457,47.885,-1.813,,
HFC_09.45_2.wav,HFC,239.473,251.009,196.221,54.788,232.976,300.271,528.970,233.016,1.906,50.175,8.131,6.171,21.08,260.206,503.680,848.397,1261.958,1617.612,2070.586,2483.544,2852.952,370.392,47.247,-1.756,,
HFC_10.00.wav,HFC,263.452,296.223,197.701,98.522,267.541,328.006,511.532,284.476,1.391,57.721,9.702,5.949,5.85,275.394,511.952,801.145,1250.246,1599.308,2016.726,2399.954,2774.884,357.070,49.010,-1.782,,
HFC_10.00_1.wav,HFC,241.566,277.981,108.060,169.922,233.892,314.784,594.991,242.772,1.600,66.537,11.874,5.604,7.12,256.044,537.366,815.073,1255.750,1679.893,2078.707,2448.979,2823.868,366.832,47.706,-1.565,,
HFC_10.00_2.wav,HFC,181.594,276.294,72.900,203.394,252.087,321.832,470.885,256.052,1.656,54.498,11.777,4.627,7.27,281.840,503.278,830.763,1275.457,1649.925,2018.703,2482.901,2839.468,365.375,47.896,-1.675,,
HFC_10.15.wav,HFC,231.708,239.201,193.420,45.782,226.878,332.909,510.216,226.046,1.364,46.275,8.434,5.487,14.92,257.688,507.624,776.241,1257.239,1677.510,2075.526,2487.905,2852.976,370.755,47.201,-1.484,,
HFC_10.15_1.wav,HFC,218.576,259.604,67.816,191.788,226.919,301.153,519.254,245.262,1.433,56.309,10.815,5.206,7.83,247.826,504.809,797.061,1256.080,1658.002,2056.435,2455.020,2830.669,368.978,47.428,-1.623,,
HFC_10.15_2.wav,HFC,265.610,284.808,234.343,50.465,262.373,286.523,358.016,132.581,1.642,77.297,9.745,7.932,17.57,262.650,465.536,839.759,1272.273,1652.724,2082.436,2475.206,2869.441,372.399,46.993,-2.341,,
HFC_10.30.wav,HFC,233.841,267.898,187.913,79.986,229.797,268.669,414.978,237.055,1.419,71.106,11.626,6.116,10.36,250.686,515.917,816.292,1270.145,1671.715,2070.602,2472.878,2841.103,370.060,47.290,-1.926,,
HFC_10.30_1.wav,HFC,209.301,279.897,98.057,181.841,204.284,332.822,539.360,202.411,1.642,55.430,8.831,6.276,11.96,277.430,537.730,869.020,1265.780,1677.364,2053.330,2480.904,2867.053,369.946,47.304,-1.663,,
HFC_10.30_2.wav,HFC,256.419,285.837,174.197,111.641,241.946,291.064,460.234,250.224,1.962,63.173,9.430,6.699,8.42,271.854,514.711,875.988,1266.180,1638.938,2010.992,2454.507,2863.005,370.164,47.276,-1.706,,
HFC_10.45.wav,HFC,237.858,271.162,92.595,178.567,254.272,283.471,383.125,250.808,1.781,74.184,10.387,7.142,9.86,261.130,490.332,813.618,1247.071,1640.796,1996.267,2462.457,2812.985,364.551,48.004,-1.887,,
HFC_10.45_1.wav,HFC,234.850,266.051,81.608,184.443,251.638,288.931,448.385,245.444,1.696,64.164,10.910,5.881,12.13,261.452,509.365,828.811,1252.193,1660.614,2039.132,2479.690,2885.262,374.830,46.688,-2.056,,
HFC_10.45_2.wav,HFC,223.707,266.826,101.822,165.004,239.027,290.761,472.299,246.610,1.640,64.229,11.585,5.544,8.26,264.258,517.268,856.269,1264.990,1686.826,2070.519,2481.420,2850.678,369.489,47.363,-1.715,,
HFC_11.00.wav,HFC,252.800,272.122,225.565,46.557,253.190,282.408,392.488,245.601,1.737,58.913,10.073,5.849,19.46,249.757,465.704,817.888,1261.023,1616.066,2041.154,2471.035,2845.675,370.845,47.189,-2.121,,
HFC_11.00_1.wav,HFC,218.101,250.711,200.201,50.510,204.866,319.255,496.560,242.092,1.876,37.186,11.458,3.245,10.20,279.162,522.317,865.323,1282.383,1662.293,2036.695,2493.153,2916.978,376.831,46.440,-1.751,,
HFC_11.00_2.wav,HFC,257.276,278.287,224.764,53.523,255.762,294.946,436.869,253.439,1.710,57.933,9.359,6.190,11.35,259.600,504.683,823.125,1252.958,1631.872,2020.861,2459.906,2849.902,370.043,47.292,-2.139,,
HFC_11.15.wav,HFC,216.201,248.788,199.347,49.441,212.520,359.855,472.879,219.890,1.779,41.250,11.523,3.580,8.61,303.921,492.815,859.127,1248.903,1659.341,2038.247,2471.058,2886.270,368.907,47.437,-1.743,,
HFC_11.15_1.wav,HFC,244.578,262.257,218.827,43.430,238.598,338.994,518.285,237.398,1.501,43.611,8.327,5.237,17.52,268.040,492.003,804.849,1261.908,1673.199,2030.906,2496.351,2872.365,372.046,47.037,-1.725,,
HFC_11.15_2.wav,HFC,235.515,247.391,177.432,69.960,234.585,286.372,516.483,233.331,1.571,45.953,7.640,6.014,19.30,253.723,505.860,819.127,1264.895,1642.788,2095.084,2503.077,2886.079,376.051,46.536,-1.787,,
HFC_11.30.wav,HFC,242.128,268.975,163.848,105.127,247.914,307.293,486.459,247.502,1.835,68.837,10.356,6.647,8.14,266.677,498.680,808.793,1261.218,1673.296,2046.442,2471.526,2875.177,372.643,46.962,-1.668,,
